1_6	BOGUS	and journalist Justin Bell attempts to drive
1_8	BOGUS	Justin Bell attempts to drive an Audi
1_14	BOGUS	Audi A7 at night using only its
2_22	BOGUS	The windows are taped over
2_23	BOGUS	The windows are taped over .
3_31	BOGUS	and journalist Justin Bell attempts to drive
3_33	BOGUS	Justin Bell attempts to drive an Audi
3_39	BOGUS	Audi A7 at night using only its
4_47	BOGUS	The windows are taped over
4_48	BOGUS	The windows are taped over .
5_70	BOGUS	-RRB- CaliforniaCalifornia If you want to make
5_72	BOGUS	If you want to make someone nervous
5_76	BOGUS	make someone nervous , borrow their $
5_90	BOGUS	so you ca n't see out and
5_93	BOGUS	n't see out and drive their car
6_108	BOGUS	If you want to make
6_110	BOGUS	If you want to make someone nervous
6_114	BOGUS	make someone nervous , borrow their 80,000
6_127	BOGUS	so you ca n't see out and
6_130	BOGUS	n't see out and drive their car
